,,,,,,,,,Starts from 01/12/2025,,,,,,
Рюкзак-гидратор,背包式水化器,"


Hydration Backpack

",Спортивные чехлы и сумки,运动套和包,Sport Cases & Bags,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Вода косметическая,化妆水,Cosmetic Water,Косметика для ухода,护理化妆品,Care Cosmetics,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Стаканчик для эпоксидной смолы,环氧树脂杯,"


Epoxy Resin Cup

",Материал для рукоделия,手工艺品材料,Handicraft Material,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Растворитель для переходов автомобильный,汽车过渡溶剂,"


Car Paint Thinner

",Автохимия и автокосметика,汽车化工产品和汽车护理产品,Car Chemical Products & Car Care Products,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Комплектующие для телефонов и АТС,手机和自动电话交换台的配件,Components for Subscriber Lines,Проводные и DECT-телефоны,有线和 DECT 电话,Wired & DECT Phones,"Компьютерная офисная техника, кассовое и складское оборудование",办公电脑设备、收银及仓储设备,"Office Computer Equipment, Cash Register & Warehouse Equipment",All,12.00%,16.00%,16.00%,11.00%,15.00%,15.00%
Смазка для форм и опалубки,模具和模板润滑剂,"


Shuttering Mold Oil

",Расходники для инструмента,工具耗材,Tool Consumables,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Набор для изготовления бомбочки для ванной,沐浴球制作套件,Bath Bomb Making Kit,"Набор для рукоделия, творчества",手工制作套件,Handicraft Kit,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Аксессуар для утюга,熨斗配件,"


Iron Accessory

",Гладильные доски и сушилки,烫衣板和烘干机,Ironing Boards and Dryers,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Диспенсер для стрейч пленки,拉伸膜分配器,"


Stretch Film Dispenser

",Хранение вещей,收纳,Storage ,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Конструкционная стеклоткань,结构玻璃布,"


Structural Fiberglass Fabric

",Обои и покрытия,壁纸和涂料,Wallpaper & Wall Coatings,Тяжелая стройка,重型建筑,Heavy Construction,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Декоративная чаша,装饰碗,Decorative Bowl,Декор и интерьер,装饰和房间内饰,Decor & Interior,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Столовый прибор для морепродуктов,海鲜餐具,Seafood Cutlery,Столовые приборы,刀叉餐具,Cutlery,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Штамп для декора стен,墙面装饰模具,"


Wall Decoration Stamp

",Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Тейбл-тент,三角立牌,"


Table Tent

",Оборудование для торговли,商业设备,Trade Equipment,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Фасадная термопанель,外墙隔热板,"


Facade Thermal Panel

",Стеновые панели,墙板,Wall Panels,Тяжелая стройка,重型建筑,Heavy Construction,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Техническое освещение,技术照明,"


Technical Lighting

",Фонари и аксессуары,手电筒及配件,Flashlights & Accessories,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Полотно для беговой дорожки,跑步机传送带,"


Treadmill Walking Belt

",Тренажеры,健身器材/训练器,Exercise Machines & Trainers,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Штаны для медицинских процедур,医疗程序裤子,"


Disposable Trousers for Medical Procedures

",Одежда медицинская,医用服装,Medical Clothing,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Доводчик дверной,闭门器,Door Closer,"Ручки, замки и фурнитура",把手、锁和铰链,"Handles, Locks and Fittings",Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Краска люминесцентная,荧光涂料,Luminous Paint,"Краска, клей",涂料， 胶水,"Paint, Glue","Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Умягчитель проточной воды,流动软水器,"


Flowing Water Softener

",Фильтры для воды,滤水器,Water Filters,Фильтры для воды,水过滤器,Water Filters,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Средство для поиска утечек,泄漏查找器,"


Leak Detector

",Автохимия и автокосметика,汽车化工产品和汽车护理产品,Car Chemical Products & Car Care Products,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Подушка на глаза для медитации,冥想用眼枕,"


Meditation Eye Pillow

",Фитнес и йога,健身与瑜伽,Fitness & Yoga,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Аппарат для дезинфекции рук,消毒洗手液,"


Hand Sanitizer Machine

",Медицинская техника,医疗技术,Medical Devices,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Развивающий коврик,儿童早教游戏垫,"


Educational Play Mat

",Развивающие и игровые коврики,教学和游戏垫,Educational Play Mats & Play Mats,Игрушки,玩具,Toys,All,12.00%,14.00%,17.50%,11.00%,13.00%,16.50%
Жмых для рыбалки,钓鱼油饼,"


Fishing Oilcake

","Прикормки, ароматизаторы, насадки",饵料、香料、鱼饵,"Baits, Bait Flavorings, Lures",Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Лента заборная,围栏挡板,"


Fence Tape

",Садовый декор и теплицы,花园装饰和温室,Garden Decor & Greenhouses,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Лента-ручка,笔带,"


Grip Tape

",Хранение вещей,收纳,Storage ,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Экзоскелет промышленный,工业外骨骼,"


Industrial Exoskeleton

",Средства защиты и пожаротушения,防护和消防设备,Protection and Fire Extinguishing Products,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
"Инструмент для лука, арбалета",弓、弩工具,"


Bow/Crossbow Tool

",Охота и стрельба,狩猎和射击,Hunting and Shooting,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Каблук для обуви,鞋跟,"


Shoe Heel

","Заготовка, фурнитура для рукоделия",手工艺毛坯、配件,"Blank, accessories for needlework","Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Ручка-указка,教鞭笔,"


Pointer Pen

",Письменные принадлежности,书写用具,Writing Tools,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Стойка указатель,机架指针,"


Pointer Stand 

",Временные ограждения,临时围栏,Temporary Fencing,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Набор бармена,调酒师工具套装,Barman's Set,Питьевая посуда и аксессуары,饮具及附属用品,Drinking Utensils & Accessories,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Грувбокс,凹槽盒,Groovebox,Электронные музыкальные инструменты,电子乐器,Electronic Musical Instruments,Аудиотехника и аксессуары к аудио- и видеотехнике,音频和视频设备配件,Audio Equipment & Audio/Video Equipment Accessories,All,12.00%,14.50%,14.50%,11.00%,13.50%,13.50%
Запчасть для упаковочного оборудования,包装设备配件,Packaging Equipment Part,Технологическое оборудование,技术装备,Technological Equipment,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
